,pagerank,centrality,closeness,betweenness,current flow closeness,current flow betweenness,eigenvector
p:Dihedral angle,0.00332516747562,0.986754966887,0.986928104575,8.07143812284e-05,0.490686457235,0.00345062725897,0.0578078222402
p:Thales' theorem,0.00334398127905,0.993377483444,0.993421052632,7.89107566788e-05,0.492318303275,0.00344874900877,0.0581899674297
p:Polytope,0.00335459197304,0.996688741722,0.996699669967,9.73138726206e-05,0.493132409719,0.00347187128228,0.0582921785994
p:Group action,0.00334539546723,0.993377483444,0.993421052632,0.000100915394838,0.49232093076,0.00347596521708,0.058122123553
p:Point groups in three dimensions,0.00331604498496,0.983443708609,0.983713355049,8.59370872765e-05,0.489866909908,0.00345684276825,0.0575839056348
p:Minkowski's theorem,0.00332256469021,0.986754966887,0.986928104575,4.00652856756e-05,0.490681563798,0.00340167561816,0.0579367583708
p:Parallelepiped,0.00334651815064,0.993377483444,0.993421052632,0.000118899858355,0.492323082709,0.00349653605552,0.0580690068355
p:Point group,0.00331371930704,0.983443708609,0.983713355049,4.97772257808e-05,0.489862580701,0.00341250585189,0.0577398444634
p:Equilateral triangle,0.0033444839632,0.993377483444,0.993421052632,8.70330301803e-05,0.49231926104,0.00345879058389,0.0581565395775
p:Leech lattice,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Incircle and excircles of a triangle,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Noncommutative geometry,0.00334561314324,0.993377483444,0.993421052632,0.000104462609617,0.49232138926,0.0034801649987,0.0581010812816
p:Coordinate-free,0.00317126257114,0.933774834437,0.937888198758,4.27574986107e-05,0.477218084918,0.00339365591358,0.054851467334
p:Kepler–Poinsot polyhedron,0.00333679656144,0.990066225166,0.990163934426,0.000114715359243,0.491507949814,0.00349076994044,0.0579007975638
p:Pedoe's inequality,0.00330271044173,0.980132450331,0.980519480519,2.58174832339e-05,0.489036744297,0.00338334619418,0.0576359243839
p:Mathematics and fiber arts,0.00332469198568,0.986754966887,0.986928104575,7.30318476617e-05,0.490685546348,0.00344108839454,0.0578399348822
p:Curve of constant width,0.00332254082028,0.986754966887,0.986928104575,3.96744912346e-05,0.490681509872,0.00340122534653,0.0579391726526
p:Absolute geometry,0.0033444839632,0.993377483444,0.993421052632,8.70330301803e-05,0.49231926104,0.00345879058389,0.0581565395775
p:Pons asinorum,0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Information geometry,0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Ruppeiner geometry,0.00321800722244,0.950331125828,0.952681388013,3.42411646484e-05,0.481504032606,0.00338771433903,0.0558263727867
p:Pi,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
