,title,Pageid,Length,NS,Nb revisions,Nb revisions IP,Nb revisions bot,Nb revisions wiki,Nb editos,Nb editors IP,Nb editors Bot,Nb editors Wiki,Links,Date
75,Hyperbola,14052,56104,0,933,324,55,554,466,214,16,236,165,290
76,Rotation (mathematics),410009,23107,0,437,139,25,273,209,97,6,106,184,1070
77,Robot control,175885,417,0,43,23,4,16,34,17,2,15,81,743
78,Point (geometry),593693,9519,0,441,158,55,228,294,120,16,158,198,1184
79,Torus,74800,29834,0,689,205,44,440,388,154,15,219,181,584
80,Sangaku,1055365,5581,0,132,41,8,83,85,25,5,55,42,1364
81,List of circle topics,1896674,8126,0,321,9,9,303,59,9,5,45,276,1582
82,Enumerative geometry,3069092,6398,0,43,6,5,32,28,5,3,20,52,1753
83,B-spline,21834,20218,0,421,172,21,228,229,122,10,97,76,283
84,Eccentricity (mathematics),1239472,9809,0,250,75,39,136,161,58,11,92,134,1418
85,Tetrahedron,30606,47834,0,1363,386,82,895,576,254,21,301,448,248
86,Wang tile,65798,11641,0,113,32,7,74,87,28,5,54,226,560
87,Klein geometry,2908224,7571,0,30,1,4,25,20,1,4,15,68,1733
88,List of triangle topics,12830119,10443,0,204,10,6,188,43,10,4,29,349,2406
89,Polar sine,17101042,6304,0,34,1,1,32,10,1,1,8,48,2656
90,Crystal system,456410,29383,0,354,92,25,237,162,61,7,94,105,1116
91,Affine geometry,243890,17496,0,209,40,22,147,113,30,10,73,112,877
92,Mathematics and fiber arts,13410380,8587,0,84,3,8,73,36,3,4,29,139,2443
93,Acute and obtuse triangles,44076423,12319,0,46,7,0,39,7,3,0,4,58,5016
94,Root system,277087,37030,0,427,115,19,293,171,70,8,93,188,921
95,Euler line,203622,13812,0,253,75,22,156,131,50,9,72,73,804
96,Circle,6220,30239,0,3648,1584,223,1841,1855,1047,22,786,222,225
97,Pi,23601,94609,0,8262,1734,273,6255,2882,1081,42,1759,448,300
98,Ehrhart polynomial,316904,12989,0,111,9,10,92,45,8,6,31,56,970
99,Point in polygon,504484,8861,0,150,49,11,90,99,38,3,58,52,1144
100,Desargues' theorem,358488,13004,0,219,17,21,181,84,14,9,61,68,1025
101,Lie sphere geometry,16646944,27577,0,89,8,5,76,28,3,2,23,89,2629
102,Point at infinity,403139,5807,0,72,11,11,50,49,7,6,36,59,1064
103,3-sphere,39792,24327,0,280,59,13,208,162,44,8,110,134,400
104,Parallel postulate,33731493,20798,0,397,132,45,220,234,90,14,130,87,877
105,Ball (mathematics),160556,9002,0,281,73,25,183,176,58,9,109,69,706
106,Prism (geometry),283007,11976,0,609,226,59,324,257,112,14,131,134,924
107,Systolic geometry,2545455,25750,0,362,38,5,319,53,12,2,39,111,1684
108,Dandelin spheres,683726,9263,0,190,27,8,155,50,17,4,29,30,1229
109,Isosceles triangle,315428,13262,0,91,31,5,55,48,18,0,30,81,968
110,Semi-major axis,23409699,8846,0,241,53,35,153,146,46,13,87,122,293
111,3D computer graphics,10175073,8666,0,910,378,66,466,498,258,11,229,205,2256
112,List of trigonometry topics,33727719,5720,0,173,6,7,160,31,4,2,25,148,1020
113,Paraboloid,145845,9855,0,283,90,27,166,183,71,10,102,61,664
114,Pappus's centroid theorem,509331,2358,0,104,42,18,44,74,27,6,41,22,1147
115,Power center (geometry),326298,4441,0,51,2,7,42,28,2,4,22,31,982
116,Concurrent lines,2206157,10366,0,127,39,13,75,64,25,7,32,89,1637
117,Astronomy,50650,77899,0,5096,1948,321,2827,2586,1343,35,1208,551,302
118,Erlangen program,243382,13267,0,153,18,15,120,87,16,10,61,100,876
119,Convex hull,40634,17273,0,366,88,19,259,179,61,9,109,108,406
120,Parabola,23231,54130,0,2332,858,100,1374,1020,530,20,470,213,96
121,Descriptive geometry,484891,11725,0,186,22,23,141,77,17,11,49,115,1134
122,Roman surface,59979,15514,0,120,16,8,96,55,15,4,36,43,530
123,Poncelet–Steiner theorem,652660,2592,0,47,4,7,36,30,4,4,22,22,1214
124,Duality (projective geometry),539925,25800,0,126,11,11,104,50,9,5,36,85,1160
125,Point groups in two dimensions,3037988,13727,0,62,2,4,56,21,2,2,17,58,1749
126,The Method of Mechanical Theorems,261272,15763,0,193,51,12,130,84,28,5,51,72,901
127,Polytope compound,23901,19517,0,160,13,10,137,57,13,4,40,91,234
